symbol,date,open,close,high,low,volume
TQQQ,2014-07-24,1.65533,1.64134,1.66099,1.63414,91593771
TQQQ,2014-07-25,1.61738,1.62122,1.62839,1.59631,97130803
TQQQ,2014-07-28,1.62634,1.62322,1.63521,1.58578,96191161
TQQQ,2014-07-29,1.63339,1.61498,1.64423,1.61068,82898967
TQQQ,2014-07-30,1.64119,1.63434,1.65055,1.61485,112665372
TQQQ,2014-07-31,1.59329,1.53484,1.60081,1.52731,145364565
TQQQ,2014-08-01,1.5249,1.5171,1.54994,1.48701,180358697
TQQQ,2014-08-04,1.52731,1.54801,1.56599,1.51014,150837195
TQQQ,2014-08-05,1.53068,1.51198,1.5425,1.49156,175200141
TQQQ,2014-08-06,1.4839,1.50943,1.53643,1.48021,124784717
TQQQ,2014-08-07,1.52883,1.49492,1.53842,1.47878,160838956
TQQQ,2014-08-08,1.5026,1.52656,1.53161,1.48237,130209074
TQQQ,2014-08-11,1.54345,1.55423,1.56803,1.54131,77801799
TQQQ,2014-08-12,1.54872,1.55063,1.56383,1.52797,95115751
TQQQ,2014-08-13,1.57147,1.60111,1.60224,1.56823,85027872
TQQQ,2014-08-14,1.60647,1.62572,1.62634,1.60111,107797789
TQQQ,2014-08-15,1.65205,1.64791,1.6607,1.60261,163172842
TQQQ,2014-08-18,1.67351,1.6878,1.69198,1.66818,83014113
TQQQ,2014-08-19,1.69952,1.71689,1.71848,1.69654,82389146
TQQQ,2014-08-20,1.71117,1.71689,1.72586,1.70706,74014085
TQQQ,2014-08-21,1.71954,1.72671,1.72792,1.71033,71027481
TQQQ,2014-08-22,1.72719,1.73344,1.74683,1.71665,80396544
TQQQ,2014-08-25,1.7592,1.75283,1.76696,1.74003,71107788
TQQQ,2014-08-26,1.76073,1.75881,1.76337,1.74579,43651282
TQQQ,2014-08-27,1.76001,1.7589,1.76458,1.74721,38404170
TQQQ,2014-08-28,1.74147,1.75173,1.75833,1.73437,67876731
TQQQ,2014-08-29,1.764,1.77224,1.77224,1.74514,54682827
TQQQ,2014-09-02,1.78507,1.78699,1.78842,1.76552,67262709
TQQQ,2014-09-03,1.80003,1.75641,1.80122,1.74599,86451620
TQQQ,2014-09-04,1.76815,1.75076,1.79466,1.73735,85863496
TQQQ,2014-09-05,1.7592,1.77789,1.77943,1.73149,87064089
TQQQ,2014-09-08,1.77739,1.78684,1.80013,1.76218,74164815
TQQQ,2014-09-09,1.78661,1.74339,1.80721,1.73223,135342334
TQQQ,2014-09-10,1.74961,1.78381,1.78699,1.73437,75749252
TQQQ,2014-09-11,1.76194,1.7824,1.78335,1.74156,124804596
TQQQ,2014-09-12,1.77663,1.75442,1.77759,1.73701,118977191
TQQQ,2014-09-15,1.7592,1.70157,1.76015,1.68672,134402341
TQQQ,2014-09-16,1.6836,1.74754,1.75641,1.6781,132762851
TQQQ,2014-09-17,1.74579,1.75617,1.77854,1.72443,118777730
TQQQ,2014-09-18,1.77104,1.79403,1.79466,1.76552,83217106
TQQQ,2014-09-19,1.81718,1.78995,1.81831,1.76936,115286056
TQQQ,2014-09-22,1.77789,1.74147,1.77789,1.7181,113255399
TQQQ,2014-09-23,1.71962,1.72626,1.74995,1.71523,105436044
TQQQ,2014-09-24,1.73031,1.7822,1.78363,1.71425,121949352
TQQQ,2014-09-25,1.7637,1.66914,1.7709,1.66754,222679070
TQQQ,2014-09-26,1.68609,1.72242,1.73078,1.67777,155093011
TQQQ,2014-09-29,1.67066,1.71665,1.72951,1.66788,119864779
TQQQ,2014-09-30,1.73078,1.72312,1.74961,1.69893,161310681
TQQQ,2014-10-01,1.70946,1.64057,1.71282,1.62443,223350724
TQQQ,2014-10-02,1.63879,1.63977,1.65495,1.57747,228109898
