Strategy,Total Invested,Ending Value,Total Return,Annualized Return (XIRR),Max Drawdown,Volatility,Sharpe Ratio
DCA,60000.0,147846.1754894781,1.464102924824635,0.1742363158202787,-0.29854103533676757,0.4243458499314598,1.5388586537763302
Momentum,46500.0,111354.04381383158,1.394710619652292,0.17211567978608427,-0.3245839985581136,,
