symbol,date,open,close,high,low,volume
QQQ,2014-01-02,79.5952,79.3445,79.6239,79.1152,32105265
QQQ,2014-01-03,79.3445,78.7689,79.416,78.7522,39295938
QQQ,2014-01-06,78.7778,78.4778,78.8766,78.1875,35284027
QQQ,2014-01-07,78.8229,79.2052,79.3257,78.6985,28482164
QQQ,2014-01-08,79.1955,79.3805,79.5952,79.0396,29923412
QQQ,2014-01-09,79.661,79.1152,79.6768,78.8405,26045575
QQQ,2014-01-10,79.317,79.3719,79.4601,78.7162,41809472
QQQ,2014-01-13,79.2602,78.1975,79.5316,77.8977,53731224
QQQ,2014-01-14,78.458,79.6858,79.7504,78.458,40906334
QQQ,2014-01-15,80.0071,80.3444,80.4985,79.9521,43832972
QQQ,2014-01-16,80.2589,80.3542,80.4726,80.1511,37654421
QQQ,2014-01-17,80.1129,79.8971,80.3444,79.7041,40592076
QQQ,2014-01-21,80.4089,80.508,80.5404,79.8335,29057069
QQQ,2014-01-22,80.6836,80.712,80.9179,80.4815,32343860
QQQ,2014-01-23,80.4629,80.4433,80.4815,79.8787,38556578
QQQ,2014-01-24,80.0602,78.8584,80.1698,78.8315,70753399
QQQ,2014-01-27,78.8865,78.0955,78.9954,77.5044,69973115
QQQ,2014-01-28,77.6592,78.0495,78.1327,77.5603,48860249
QQQ,2014-01-29,77.3682,77.2143,77.9514,77.0593,57226206
QQQ,2014-01-30,78.1778,78.6456,78.9132,78.0768,72440574
QQQ,2014-01-31,77.7713,78.4299,78.8052,77.6877,49710148
QQQ,2014-02-03,78.3161,76.6328,78.6456,76.431,72165247
QQQ,2014-02-04,77.0075,77.1965,77.5044,76.7857,41532156
QQQ,2014-02-05,76.9543,76.9985,77.2711,76.1347,46064382
QQQ,2014-02-06,77.2241,77.9749,78.0768,77.2054,35552323
QQQ,2014-02-07,78.4299,79.3719,79.425,78.1875,42307486
QQQ,2014-02-10,79.3073,79.8236,79.8603,79.2885,33228298
QQQ,2014-02-11,79.9521,80.7316,80.8903,79.9061,42531120
QQQ,2014-02-12,80.8903,80.8903,81.0678,80.6413,35768826
QQQ,2014-02-13,80.2856,81.4894,81.55,80.2776,44524140
QQQ,2014-02-14,81.4265,81.6491,81.8323,81.2138,37488139
QQQ,2014-02-18,81.7617,82.052,82.2059,81.5874,32565631
QQQ,2014-02-19,81.8883,81.4894,82.0873,81.3246,45944063
QQQ,2014-02-20,81.55,81.8688,82.0246,81.1953,46006377
QQQ,2014-02-21,82.1256,81.7617,82.2413,81.6591,34330390
QQQ,2014-02-24,81.9158,82.1972,82.5696,81.86,34658156
QQQ,2014-02-25,82.3068,82.1071,82.4787,81.8422,30194975
QQQ,2014-02-26,82.3424,82.0346,82.5883,81.7059,47256428
QQQ,2014-02-27,82.0453,82.5657,82.6491,81.9178,31490625
QQQ,2014-02-28,82.5385,82.4737,83.0421,81.7452,53257912
QQQ,2014-03-03,81.6882,81.8619,82.0824,81.1306,42600703
QQQ,2014-03-04,82.7403,82.9011,83.0607,82.6736,36366795
QQQ,2014-03-05,83.0519,83.1334,83.2773,82.8637,29810296
QQQ,2014-03-06,83.306,83.0607,83.3795,82.7579,26381955
QQQ,2014-03-07,83.3246,82.6491,83.406,82.2265,34144171
QQQ,2014-03-10,82.6119,82.7216,82.7579,82.1913,19868076
QQQ,2014-03-11,82.9195,82.3657,83.1334,82.1196,30128212
QQQ,2014-03-12,81.998,82.6736,82.7216,81.6882,30667362
QQQ,2014-03-13,82.9871,81.506,83.0127,81.1306,53171502
QQQ,2014-03-14,81.2404,80.9512,81.5954,80.9159,42433370
QQQ,2014-03-17,81.4717,81.6611,82.0824,81.4265,31192700
QQQ,2014-03-18,81.7549,82.6491,82.7481,81.7365,34230639
QQQ,2014-03-19,82.6736,82.2001,82.7666,81.6611,44761303
QQQ,2014-03-20,81.9618,82.4266,82.6736,81.7814,34651598
QQQ,2014-03-21,82.9068,81.4404,82.9461,81.2717,68646262
QQQ,2014-03-24,81.7395,80.7206,81.7943,79.9836,84954776
QQQ,2014-03-25,81.1522,80.9906,81.6641,80.3109,45598279
QQQ,2014-03-26,81.403,79.9472,81.5726,79.9376,44731705
QQQ,2014-03-27,79.8534,79.4965,80.1906,79.0563,70801180
QQQ,2014-03-28,79.7434,79.6532,80.5315,79.4337,43600214
QQQ,2014-03-31,80.2736,80.2168,80.7589,80.1748,37039160
QQQ,2014-04-01,80.6119,81.6265,81.6822,80.255,42239668
QQQ,2014-04-02,81.9757,81.8392,82.0598,81.4745,37835252
QQQ,2014-04-03,81.9414,81.1894,82.0598,80.7206,33124620
QQQ,2014-04-04,81.702,79.0287,81.8119,78.8199,143381154
QQQ,2014-04-07,78.5454,78.2819,79.2689,77.7327,91783665
QQQ,2014-04-08,78.3702,79.0023,79.1133,78.0955,56268611
QQQ,2014-04-09,79.3063,80.3599,80.406,79.0854,49867021
QQQ,2014-04-10,80.406,77.8691,80.4158,77.6465,80471462
QQQ,2014-04-11,77.1827,76.9643,78.1788,76.7779,102334331
QQQ,2014-04-14,77.6387,77.5663,77.9749,76.8504,50807341
QQQ,2014-04-15,77.834,77.825,78.2729,76.2024,92476943
QQQ,2014-04-16,78.5366,78.8555,78.8555,77.8591,51300586
QQQ,2014-04-17,78.5944,78.8737,79.2689,78.3515,58664222
